Video ID,Comment,Toxicity,Type,target
u8Y9W0rFGZU,خبر عاجل ريال مدريد يسبب حالة نفسية لجمهور برشلونة,0,,
qej8hvq2lZo,"أتوقع ماراح ينتهي الموسم إلا وجلوري عنده مشكل أمراض







أمزح معاك",0,,
oeNHYAiggks,ياخي الفيد كان قديم وتكلمو عنه اشبكم انتم,0,,
EF9RniqmCzM,صدارة بس,0,,
qej8hvq2lZo,مانشستر زرقا ابلع,1,1,1
NWsNVfHsuF0,مع إن الهدف عادي تتصد بكل سهولة ماعرفش دخلت إزاي,0,,
u8Y9W0rFGZU,خسرانين  ضد البايرن وجاي هسه بكل عين صلفه تشجعهم لكم شنو انتو جمهور برشلونه عينكم شوكت تنكسر,0,,
qej8hvq2lZo,"جلوري   
هذي   الكور الي نبغاها  ١
وش ذا الفريق       ٩٩",0,,
NWsNVfHsuF0,محمد بن قحبان مصدوم السعوكيه مملكه الشاطين  فازت,1,2,1
qej8hvq2lZo,كمية الطرب و الصياح في هذا المقطع غير طبيعية ه ارسنال قلب الطاوله على كبار انكلترا لحد الان خسارة وحيدة و منطقية من ليفربول و خسرو   و ليس وو ه,1,1,1
qej8hvq2lZo,ياخي شجع آرسنال عشان ترتاح,0,,
qej8hvq2lZo,عبد العزيز انا ادعوك تشجع ريال مدريد,0,,
NWsNVfHsuF0,"مصعب الجويرالدقيقة  على حد منطقة الجزاء للسعودية  مرر لسالم الدوسري وسالم خلف منتصف ملعب المنتخب السعودي  الدقيقة ثم بدأ بالجري للمسانده

 في الدقيقه  مصعب الجوير يدخل منطقة جزاء المنتخب العراقي

مع هذا اللاعب لم يكن بكامل سرعته

لو كان أجنبي كان ألحين اللقطه ترند وقاعدين نمجّده

العين حق والذكر زين",0,,
u8Y9W0rFGZU,انت مهان من مدريد,1,1,1
u8Y9W0rFGZU,من أجل المتابعين ما فعلتموه هو إهانة لبلدي بأغنية إندونيسيا رايا لن أسامحكم أبدًا على ما فعلتموه، أتمنى ألا تتمكنوا من دخول الجنة أبدًاوفي وقت لاحق من اليوم الذي تموت فيه لن تشعر إلا بألم غير عادي بسبب الخطايا التي ارتكبتها تذكر ذلك,1,1,1
u8Y9W0rFGZU,بالمناسبة انت يلا كرامة فريق اغتصبك ٨ وبتشجعو؟ ابلع من تم ساكت,1,2,1
u8Y9W0rFGZU,صياحك طرب عبسي,1,1,1
qej8hvq2lZo,مبروك عليكم كافاني و تيليس,0,,
qej8hvq2lZo,"تذكر جورج بست

مات",0,,
qej8hvq2lZo,ليفربول خسر من استون فيلا ولك استون فيلا بايرن ميونخ,0,,
qej8hvq2lZo,طيب ألقم يوم احنا البارصا يوم سجلوا علينا الثامن تضحك انا الحين جالس اضحك ه,1,1,1
EF9RniqmCzM,"تفكيرك لهجتك و حركات وجهك كلها مستفزه
اتعجب ع الناس الي تتابعك 
شلون",0,,
qej8hvq2lZo,والله يا انو مورينهو دعس ع تاريخ مانشستر يونايتد,1,1,1
qej8hvq2lZo,تْسِتْاُهلُ انَتْ اوَلُ وَاحُدِ شِمٌتْتْ بّبّرَشِلُوَنَةِ لُمٌاْعمٌلُتْ رَدِةِ فَْعلُ وَصّرَتْ تْضُحُكِ تْسِتْاُهلُوَنَ يَانَادِيَ ضُرَبّاتْ الُجْزُاء,0,,
NWsNVfHsuF0,"يلا يا يونس ياوضيع ، لا تمس السعوديين وبلدنا 

دعسناك دعس بـ ثلاثيه حراقه 

ولازال المنتخب السعودي كعبه عالي عليك",1,1,1
gvURpU4zGuQ,هذا أصله باكستاني مع احترامي لباقي القبائل السعوديه وقبل كل شيء أخي اليمن كانت قديما من خليج عدن الى حدود الشام,1,2,2
u8Y9W0rFGZU,ياخي مكروه وعقلة صغير,1,1,1
qej8hvq2lZo,"ابلع حبيبي اليونايتدين 
تشيلساوي مر من هنا",1,1,1
qej8hvq2lZo,انفضحنا يا صديقي اقول لك من المغرب لن تسير وحدك,0,,
qej8hvq2lZo,سوي ردة فعلك ع محرز,0,,
