Comment,Toxicity,Type,target
هات الي بعده اجل هاه,0,,
لم استطع النوم و,0,,
هاذي ايث هاذي ايث,0,,
و ارنلد,0,,
"لا اله الا انت سبحانك اني كنت من الظالمين   سبحان الله وبحمده سبحان الله العظيم  اللهم صلِ وسلم على نبينا محمد  ، الحمدلله",0,,
لهم ثلاث سنوات مربينكم,1,1,1
غلوري قضى حياته كلها وهو يلڨم,1,1,1
انا اجدد تعليق,0,,
قلوري الموسيقى حرام واحفظ لسانك واحرص على تغطية عورات اللاعبين,0,,
افضل فيديو شفته لجلوري,0,,
ه جلوري حفله,0,,
جلوري عندك ملايين مشاهدات وماعندك فلوس تشتري لك رسيفر لبث المباريات ؟ و ين فلوس مشاهدات الناس ماتستاهل الناس جودة محترمه و احترام لهم ؟,0,,
بالله وش قايل لكم,0,,
جالس يهايط ويقول ويش مشكلتنا إذا نعرف نسجل بلنتيات وبلعو ثلاثية,1,1,1
يا اخي صياحك طرب بالله الكريم,0,,
ًاستغفرلله واتوب اليه يارب,0,,
القطه بتصير ميمز,0,,
استمتع بصياح مشجعين اليونايتد,1,1,1
"او موسم  توتنهام سواى ثاني اعظم انجاز اخر  سنة و هو تصدرو  جولات في الدوري الإنجليزي 


امزح",0,,
لا يجوز اللعن,0,,
اشغلنا قارئ المستقبل كل ماجا هدف اش قولت لكوم ؟,0,,
حبك فله,0,,
مين جاي بعد ما صار اليونياتيد معلم,0,,
بموت طيب كمل شوف السادس وقفل المباراة,0,,
المقطع كامل ايش قلت لكم,0,,
ه ه,0,,
عيب يا جلوري وسخ يا غبي مجنون يا كريه عشان كريه لاعب ماغواير قلب دفاع,1,1,1
الهم صل على محمد وال محمد,0,,
وإيش ذنبك إنك تشجع اليونايتد,0,,
إِنَّ اللَّهَ وَمَلائِكَتَهُ يُصَلُّونَ عَلَى النَّبِيِّ يَا أَيُّهَا الَّذِينَ آمَنُوا صَلُّوا عَلَيْهِ وَسَلِّمُوا تَسْلِيمًا,0,,
مورينهو جلدهم جلد,1,1,1
ملاحضين انو كلوري حسد ليفربول من كال ليفربول احسن من اليونايتيد بعد مباراتهم خسرو ليفربول,0,,
هذاءيوم النصر,0,,
انت قاعد تقصد ميسي مع الأرجنتين في الكوبا أمريكا  لما ضيع البلنتي,0,,
هاذا المقطع منجم للميمز,0,,
